Date,Open,High,Low,Close,Volume,SMA_9,SMA_22,SMA_50,SMA_200,EMA_9,EMA_21,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,ADX_14,ST_Direction,Ichi_Tenkan,Ichi_Kijun,ATR_14
2024-12-18,6931.747734206834,7172.858521198494,6844.847713394916,7109.64501953125,1201264,6991.46337890625,6817.282137784091,7109.457236328125,,6979.68520078687,6920.305032085215,58.15431874410631,30.286825568612585,-11.416239794332853,41.70306536294544,7181.776158863206,6544.428821605545,16.45457390001262,0,6989.4645185380905,6690.661803453195,184.73266236046285
2024-12-19,6990.963686595041,7180.254299823033,6987.565746091377,7087.90771484375,660251,7001.685221354167,6853.186412464489,7090.46919921875,,7001.329703598247,6935.541639608718,57.05554010485575,38.70907048484696,-1.391177738496891,40.100248223343854,7165.274705991805,6624.048829164446,16.165977343750512,0,6993.162407850359,6725.8167235513565,191.93563976012243
2024-12-20,7120.888780827466,7183.852428994782,6785.482328863256,6827.60791015625,768861,6988.564995659723,6871.70751953125,7062.699248046875,,6966.585344909849,6925.729482385766,45.87718648215019,24.10190962665638,3.707439734533762,20.39446989212261,7150.844492796173,6656.343739625702,15.45898546842619,0,6984.667378929019,6727.615788137231,210.0823196636648
2024-12-23,6866.035556238528,7065.920143028587,6856.09110284593,6941.99169921875,783189,6996.110622829861,6893.765225497159,7041.054736328125,,6961.66661577163,6927.207865734219,50.46946637915367,21.507519937884357,7.2674557752038815,14.240064162680472,7151.800794098013,6672.482506683236,14.802493012767892,0,6984.667378929019,6727.615788137231,214.05858305651265
2024-12-24,6971.974517936235,7074.915082062874,6898.0172194374845,7003.1064453125,486797,6989.875325520833,6909.862748579545,7016.512900390625,,6969.9545816798045,6934.107736604972,52.775074449404,24.10502890215957,10.63497040059502,13.470058501564557,7141.559329513906,6716.484469314219,14.128325795831058,0,6984.667378929019,6727.615788137231,213.21622591793468
2024-12-26,7043.883112116982,7070.917307470841,6944.040369912967,7059.6240234375,440974,6995.560926649306,6922.980158025568,6993.962919921875,,6987.888470031344,6945.518308135202,54.86738059840818,30.37393783967309,14.582763888410636,15.791173951262454,7155.897199661468,6723.993962447908,13.502313380104,0,6984.667378929019,6763.1952626801685,197.08268348197
2024-12-27,7096.902560508175,7229.825816464742,7070.917563103132,7114.1923828125,530288,7008.670030381944,6943.37519975142,6973.85552734375,,7013.149252587575,6960.852314924047,56.85497039033343,39.29236595636121,19.52468430200075,19.76768165436046,7166.230129594321,6751.149362593179,13.271692129229288,0,7007.654072664,6786.181956415149,194.2521650329648
2024-12-30,7135.180392455082,7140.92707467589,6911.259865642353,6950.33740234375,960856,7003.561903211806,6948.338245738636,6956.8363671875,,7000.58688253881,6959.896413780384,49.76758258737989,32.76090958923578,22.17192935944776,10.58898022978802,7158.819638876791,6774.445741982584,12.679755947306104,0,7007.654072664,6828.057755759706,199.39916596274367
2024-12-31,6949.987367688831,7141.876578876098,6813.865763303063,7119.23974609375,915919,7023.739149305556,6965.607821377841,6944.917255859375,,7024.317455249798,6974.382171263417,55.87383381380056,40.74401923505775,25.88634733456976,14.85767190048799,7169.677167072374,6795.374883708877,12.69561144186594,0,7007.654072664,6928.674771735686,212.12396196532245
2025-01-01,7116.890831844943,7175.656706145566,7045.931802346137,7063.97119140625,412650,7018.664279513889,6977.99385209517,6930.92533203125,,7032.248202481088,6982.526627640038,53.57869054930581,42.12538545845018,29.13415495934584,12.99123049910434,7171.189785990342,6816.519149556532,12.466917984572122,0,7007.654072664,6928.674771735686,202.4580858933398
