Date,Open,High,Low,Close,Volume,SMA_9,SMA_22,SMA_50,SMA_200,EMA_9,EMA_21,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,ADX_14,ST_Direction,Ichi_Tenkan,Ichi_Kijun,ATR_14
2024-12-18,2307.454906369584,2339.8076328717684,2307.454906369584,2316.43896484375,988403,2346.342529296875,2387.080366654829,2472.8575048828125,,2345.723100887964,2383.798973395707,36.18802755849556,-42.690860959619386,-39.32180588682545,-3.369055072793934,2492.899360785113,2284.112821832074,32.11645601537696,0,2370.859480639718,2392.141343602512,42.027729773203
2024-12-19,2304.459962428923,2343.685809457716,2293.659340534284,2317.0771484375,1655915,2332.8199055989585,2384.2664018110795,2464.48154296875,,2339.993910397872,2377.733352944961,36.31896369804279,-42.66586067927346,-39.99061684531505,-2.675243833958412,2494.446789947621,2280.3119747008163,33.24170789891219,0,2361.6051752351523,2392.141343602512,41.9260390103472
2024-12-20,2309.467724557705,2330.479748587135,2282.515070557055,2291.597412109375,2069691,2325.5267469618057,2380.8543812144885,2456.563666992188,,2330.314610740172,2369.9028128689984,33.37450059442328,-44.19262448945938,-40.83101837414392,-3.3616061153154533,2496.936092877407,2266.889493060093,34.470784358342584,0,2325.889510371878,2387.82102810732,42.85534615103124
2024-12-23,2294.641369734494,2309.124022795506,2273.285593186901,2296.5068359375,1066199,2319.1499837239585,2378.895086115057,2449.0205908203125,,2323.553055779638,2363.2304513297718,34.476771231095555,-44.4935523602735,-41.56352517136984,-2.930027188903658,2494.4274567793823,2256.3833830643675,35.76162949584547,0,2319.4827710534146,2383.206289422243,43.63032931739895
2024-12-24,2288.848234775878,2314.229552226785,2288.848234775878,2293.217529296875,683646,2311.971381293403,2373.999101118608,2440.85849609375,,2317.4859504830856,2356.8656402358715,34.07006646590355,-44.48466786161316,-42.1477537094185,-2.336914152194659,2489.3885348205968,2247.3176663512786,36.69272261162642,0,2314.867861487861,2383.206289422243,42.886902941923054
2024-12-26,2289.9773243568984,2299.403417590653,2282.564122249837,2290.46826171875,1033769,2310.6404079861118,2367.808826793324,2432.526884765625,,2312.0824127302185,2350.829514916133,33.71210532719205,-44.19007408272319,-42.55621778407944,-1.6338562986437497,2481.4048431356478,2240.1657623331025,37.67259738891312,0,2312.2169704166354,2383.206289422243,39.53451582737063
2024-12-27,2300.5324897599107,2303.134361905232,2286.049837508968,2298.814208984375,556816,2305.310980902778,2361.652021928267,2424.510693359375,,2309.42877198105,2346.1008507405186,35.91337676345407,-42.78990283211624,-42.6029547936868,-0.1869480384294419,2475.3888729740497,2234.305975658763,38.3702239885175,0,2311.455983324433,2383.206289422243,39.29605010571773
2024-12-30,2299.05968803339,2316.389681190017,2282.8587549338595,2301.0234375,924180,2302.8399251302085,2355.2519864169035,2416.542568359375,,2307.74770508484,2342.0029040822897,36.514363020675454,-41.02903359085394,-42.28817055312023,1.2591369622662896,2461.199958918991,2233.506584049759,38.27789456034314,0,2308.4857013223086,2383.206289422243,34.64264565509062
2024-12-31,2297.5870951983143,2310.00771587375,2281.1406918459334,2284.675537109375,1878762,2298.8688151041665,2349.211248224432,2409.074423828125,,2303.133271489747,2336.7913252665703,33.97533809003497,-40.48597386215624,-41.92773121492744,1.441757352771198,2449.257859083371,2230.4947532213164,38.23582084330791,0,2308.4857013223086,2383.206289422243,34.972271642190954
2025-01-01,2282.8588155253287,2294.7884979654154,2278.1949104183414,2280.011474609375,559893,2294.8213161892363,2341.443292791193,2401.9313134765625,,2298.508912113673,2331.6295206613704,33.26465926196393,-39.97118306204084,-41.53642158435012,1.5652385223092864,2434.140492997921,2229.828476728641,38.2751813971831,0,2308.4857013223086,2383.206289422243,34.44976037542214
2025-01-02,2287.767981935654,2336.517963432763,2273.530799215453,2327.04296875,1650744,2295.9286295572915,2336.571843927557,2396.1859814453123,,2304.2157234409383,2331.2125613967,45.61775530514616,-35.36054477652169,-40.30124622278444,4.940701446262743,2420.756871518841,2233.933362856159,36.21141067893772,0,2304.901778309832,2383.206289422243,34.50584989918077
2025-01-03,2338.678339641274,2370.834735922727,2321.9373281379058,2362.635986328125,1274239,2303.8218044704863,2333.1531205610795,2391.382534179688,,2315.899776018376,2334.069236390466,52.74652242676329,-28.505923124636865,-37.94218160315492,9.436258478518056,2398.98945220474,2247.0259042405723,34.189093294219944,0,2322.060164554814,2383.206289422243,33.71333287674435
2025-01-06,2374.1730256557257,2375.10575867804,2318.8442903999216,2333.130615234375,900419,2307.89111328125,2329.212224786932,2386.423798828125,,2319.3459438615755,2333.983907194457,47.22054338027407,-25.16434404731035,-35.38661409198601,10.22227004467566,2371.1624173447867,2264.2879244520886,32.44764667729326,0,2324.3182789467464,2371.350253579155,35.627991774293086
2025-01-07,2334.063573808319,2358.708727057057,2332.198107583421,2347.46630859375,922768,2313.918755425347,2324.5795676491475,2384.7450537109376,,2324.9700168080103,2335.2095800489387,49.96341432599466,-21.11593653586624,-32.53247858076206,11.41654204489582,2369.31453452836,2265.158854143516,30.83058910443276,0,2324.3182789467464,2371.350253579155,35.65254555980151
2025-01-08,2347.662453978323,2365.3361989267164,2325.0793354331527,2357.481201171875,953351,2321.3646375868057,2320.884133078835,2382.821108398437,,2331.4722536807835,2337.2342728782965,51.846126633441976,-16.90456102595772,-29.406895069801195,12.502334043843476,2370.046519376869,2264.785218904381,29.02674614918457,0,2324.3182789467464,2371.350253579155,36.21712677347146
2025-01-09,2361.458055894267,2428.814523921439,2343.1459468882217,2391.2578125,2425267,2331.636149088541,2322.430586381392,2380.6457861328126,,2343.429365444627,2342.145503752997,57.635749632343625,-10.717975195427698,-25.669111094926496,14.951135899498798,2378.7731470176186,2259.4018773964435,29.173619059063583,0,2351.172661568446,2371.350253579155,38.76299163845614
2025-01-10,2391.257498926049,2411.484213212976,2370.049149674973,2397.787109375,1651911,2342.387668185764,2324.425559303977,2379.147495117188,,2354.300914230702,2347.203831536815,58.67021795452617,-5.227937256174755,-21.58087632717615,16.352939071001394,2392.50084944031,2255.2081837628148,29.310001046808377,0,2351.172661568446,2371.350253579155,38.29659060330781
2025-01-13,2373.2405929574184,2415.903006147045,2365.385594359908,2406.5751953125,2595013,2355.932074652778,2326.6414794921875,2377.68326171875,,2364.7557704470614,2352.6012282436955,60.08304071920793,-0.1660039554080867,-17.297901852822537,17.13189789741445,2404.333763016526,2249.3548844444117,29.225990464049676,0,2351.172661568446,2361.92442645945,39.34508933034584
2025-01-14,2420.3212661598373,2423.2668904188554,2321.2501994677364,2325.0302734375,2052741,2360.9341634114585,2327.6679909446025,2375.106416015625,,2356.8106710451493,2350.0947778067684,44.78477303520963,-2.703218026540526,-14.378965087566137,11.67574706102561,2404.4089631924858,2249.4564176668896,27.440803385051527,0,2351.172661568446,2352.670121054884,44.81904458036099
2025-01-15,2330.87260514862,2341.673228473689,2307.50417554499,2329.989013671875,1215150,2361.2615017361118,2326.9048073508525,2372.4491845703124,,2351.4463395704943,2348.2669810672323,45.69035227647623,-4.264688883784856,-12.35610984680988,8.091420963025024,2404.836379214521,2249.986350277666,25.61673310390436,0,2368.159349733214,2351.0500585541704,46.0568844080669
