Ticker,Category,BT_Category,Sector,Market_Cap,Close,Tech_Score,Technical_Score,Macro_Score,Fund_Score,Fundamental_Score,News_Score,Forecast_Score,N_Catalysts,News_Direction,Composite_Score,Composite_Direction,Forecast_Direction,Direction_Label,Composite_Severity,Actual_Return_Pct,Regime,BT_6M,BT_Accuracy,BT_Forward_Days,Horizon,BT_PF,BT_Trades,TR_total_trades,TR_win_rate,TR_avg_win_pct,TR_avg_loss_pct,TR_profit_factor,TR_total_return_pct,TR_avg_holding_days,TR_sl_exits,TR_flips
BAYERCROP,SMALL,SMALL,Other,0.0,4298.4,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,0.61,CHOPPY,55.0,55.0,7,7,1.11,50,50,44.0,4.09,2.89,1.11,9.1,6.7,3,12
BBTC,SMALL,SMALL,Other,0.0,1520.2,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,-0.46,CHOPPY,66.1,66.1,7,7,0.68,57,57,29.8,6.33,3.93,0.68,-49.6,6.3,16,19
BECTORFOOD,SMALL,SMALL,Other,0.0,178.47,-2,-2,-0.5,0,0,0.0,0.0,0,NEUT,-1.4,0,0,NEUT,NEUT,4.87,CHOPPY,69.7,69.7,7,7,1.18,47,47,51.1,4.61,4.06,1.18,17.1,7.8,10,7
BEL,SMALL,SMALL,Other,0.0,408.35,10,10,-0.5,0,0,1.6,1.6,11,NEUT,7.1,0,0,NEUT,NEUT,-0.9,CHOPPY,66.2,66.2,7,7,1.1,47,47,44.7,3.91,2.89,1.1,7.1,8.0,3,5
BERGEPAINT,SMALL,SMALL,Other,0.0,516.7,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,2.95,CHOPPY,75.5,75.5,7,7,1.18,50,50,38.0,4.92,2.56,1.18,14.1,7.3,5,11
BIKAJI,SMALL,SMALL,Other,0.0,670.15,-4,-4,-0.5,0,0,0.0,0.0,0,NEUT,-2.7,0,0,NEUT,NEUT,2.65,CHOPPY,63.5,63.5,7,7,0.55,62,62,27.4,4.18,2.86,0.55,-57.8,6.1,7,17
BLISSGVS,SMALL,SMALL,Other,0.0,424.65,3,3,-0.5,0,0,0.0,0.0,0,NEUT,1.9,0,0,NEUT,NEUT,0.72,CHOPPY,66.9,66.9,7,7,0.68,53,53,26.4,10.82,5.72,0.68,-71.5,6.3,25,5
BLS,SMALL,SMALL,Other,0.0,253.65,12,12,-0.5,0,0,0.0,0.0,0,NEUT,7.7,0,0,NEUT,NEUT,-3.94,CHOPPY,61.7,61.7,7,7,0.82,50,50,40.0,5.51,4.49,0.82,-24.6,7.2,14,5
BLUESTARCO,SMALL,SMALL,Other,0.0,1581.7,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,0.69,CHOPPY,57.7,57.7,7,7,0.77,51,51,27.5,7.21,3.55,0.77,-30.5,7.0,9,13
BOSCHLTD,SMALL,SMALL,Other,0.0,37790.0,-4,-4,-0.5,0,0,0.0,0.0,0,NEUT,-2.7,0,0,NEUT,NEUT,-0.08,CHOPPY,65.9,65.9,7,7,0.95,52,52,40.4,4.76,3.4,0.95,-5.7,7.1,7,14
BRITANNIA,SMALL,SMALL,Other,0.0,5171.0,-8,-8,-0.5,0,0,-1.7,-1.7,1,NEUT,-6.0,0,0,NEUT,NEUT,1.24,CHOPPY,74.6,74.6,7,7,1.1,48,48,41.7,3.14,2.03,1.1,6.0,7.6,1,7
BSE,SMALL,SMALL,Other,0.0,3929.5,14,14,-0.5,0,0,91.2,91.2,2,BULL,45.5,1,1,BULL,MISS,-1.67,CHOPPY,65.3,65.3,7,7,1.1,51,51,37.3,9.61,5.19,1.1,16.7,7.2,20,8
BSOFT,SMALL,SMALL,Other,0.0,315.55,-2,-2,-0.5,0,0,0.0,0.0,0,NEUT,-1.4,0,0,NEUT,NEUT,-1.19,CHOPPY,66.2,66.2,7,7,0.91,47,47,36.2,5.94,3.69,0.91,-9.8,8.0,8,13
CAMPUS,SMALL,SMALL,Other,0.0,235.15,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,-0.86,CHOPPY,59.0,59.0,7,7,0.77,50,50,34.0,4.79,3.19,0.77,-23.9,7.5,8,9
CAMS,SMALL,SMALL,Other,0.0,741.1,12,12,-0.5,0,0,0.0,0.0,0,NEUT,7.7,0,0,NEUT,NEUT,-1.15,CHOPPY,57.3,57.3,7,7,0.56,62,62,27.4,5.15,3.49,0.56,-69.6,6.0,12,17
CAPLIPOINT,SMALL,SMALL,Other,0.0,2309.4,-22,-22,-0.5,0,0,0.0,0.0,0,NEUT,-14.4,0,0,NEUT,NEUT,2.4,CHOPPY,70.9,70.9,7,7,0.66,57,57,38.6,4.33,4.1,0.66,-48.3,6.7,15,13
CARERATING,SMALL,SMALL,Other,0.0,1629.0,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,0.25,CHOPPY,69.4,69.4,7,7,0.7,53,53,24.5,8.26,3.84,0.7,-46.3,7.0,11,12
CARYSIL,SMALL,SMALL,Other,0.0,1191.9,-17,-17,-0.5,0,0,0.0,0.0,0,NEUT,-11.1,0,0,NEUT,NEUT,6.08,CHOPPY,66.6,66.6,7,7,0.98,48,48,37.5,7.84,4.82,0.98,-3.4,7.1,14,7
CASTROLIND,SMALL,SMALL,Other,0.0,182.59,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,0.04,CHOPPY,73.7,73.7,7,7,0.66,51,51,35.3,3.22,2.64,0.66,-29.3,7.4,6,10
CEMPRO,SMALL,SMALL,Other,0.0,1237.1,-22,-22,-0.5,0,0,0.0,0.0,0,NEUT,-14.4,0,0,NEUT,NEUT,2.77,CHOPPY,72.5,72.5,7,7,1.39,50,50,36.0,10.41,4.21,1.39,52.6,7.4,10,11
CIEINDIA,SMALL,SMALL,Other,0.0,435.25,12,12,-0.5,0,0,0.0,0.0,0,NEUT,7.7,0,0,NEUT,NEUT,-1.17,CHOPPY,62.4,62.4,7,7,0.78,51,51,37.3,3.36,2.55,0.78,-17.9,7.0,5,6
COLPAL,SMALL,SMALL,Other,0.0,2056.3,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,1.63,CHOPPY,73.6,73.6,7,7,1.39,45,45,35.6,5.62,2.23,1.39,25.3,8.0,1,8
CRISIL,SMALL,SMALL,Other,0.0,4003.3,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,3.73,CHOPPY,72.2,72.2,7,7,1.33,44,44,54.5,3.81,3.42,1.33,22.9,8.7,5,7
CUMMINSIND,SMALL,SMALL,Other,0.0,5609.5,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-0.28,CHOPPY,69.5,69.5,7,7,0.9,55,55,32.7,5.61,3.03,0.9,-11.3,6.6,7,15
DABUR,SMALL,SMALL,Other,0.0,427.9,-8,-8,-0.5,0,0,51.7,51.7,1,BULL,15.4,0,0,NEUT,NEUT,0.41,CHOPPY,61.3,61.3,7,7,0.73,51,51,31.4,4.2,2.65,0.73,-25.5,7.3,5,15
DBCORP,SMALL,SMALL,Other,0.0,201.57,12,12,-0.5,0,0,0.0,0.0,0,NEUT,7.7,0,0,NEUT,NEUT,-0.91,CHOPPY,65.8,65.8,7,7,0.61,49,49,42.9,3.19,3.92,0.61,-42.6,7.2,10,11
DHANUKA,SMALL,SMALL,Other,0.0,1062.5,4,4,-0.5,0,0,0.0,0.0,0,NEUT,2.5,0,0,NEUT,NEUT,-2.26,CHOPPY,69.2,69.2,7,7,0.97,50,50,44.0,5.07,4.1,0.97,-3.2,7.3,11,8
DIXON,SMALL,SMALL,Other,0.0,11487.0,2,2,-0.5,0,0,32.1,32.1,3,BULL,14.1,0,0,NEUT,NEUT,-1.07,CHOPPY,65.6,65.6,7,7,0.61,49,49,44.9,3.79,5.05,0.61,-53.2,7.1,14,6
DOLLAR,SMALL,SMALL,Other,0.0,248.65,9,9,-0.5,0,0,-11.3,-11.3,12,BEAR,1.3,0,0,NEUT,NEUT,0.91,CHOPPY,64.2,64.2,7,7,0.72,53,53,28.3,6.23,3.43,0.72,-37.0,7.0,9,16
ECLERX,SMALL,SMALL,Other,0.0,1359.8,12,12,-0.5,0,0,0.0,0.0,0,NEUT,7.7,0,0,NEUT,NEUT,-3.91,CHOPPY,60.3,60.3,7,7,1.46,44,44,38.6,9.87,4.25,1.46,53.2,8.0,9,7
EICHERMOT,SMALL,SMALL,Other,0.0,7219.5,8,8,-0.5,0,0,0.0,0.0,0,NEUT,5.1,0,0,NEUT,NEUT,0.23,CHOPPY,56.5,56.5,7,7,0.84,48,48,31.2,4.72,2.56,0.84,-13.5,7.6,3,10
ELLEN,SMALL,SMALL,Other,0.0,266.7,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,-0.8,CHOPPY,76.5,76.5,7,7,3.46,19,19,63.2,9.17,4.55,3.46,78.2,8.3,2,3
EMUDHRA,SMALL,SMALL,Other,0.0,469.4,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,-2.89,CHOPPY,77.8,77.8,7,7,1.38,44,44,38.6,6.86,3.13,1.38,32.2,8.7,3,5
ENDURANCE,SMALL,SMALL,Other,0.0,2502.5,4,4,-0.5,0,0,0.0,0.0,0,NEUT,2.5,0,0,NEUT,NEUT,-0.62,CHOPPY,63.5,63.5,7,7,0.74,52,52,36.5,3.75,2.91,0.74,-24.6,6.8,5,7
ESCORTS,SMALL,SMALL,Other,0.0,2740.6,9,9,-0.5,0,0,0.0,0.0,0,NEUT,5.8,0,0,NEUT,NEUT,-1.77,CHOPPY,56.2,56.2,7,7,0.73,54,54,33.3,5.11,3.49,0.73,-33.9,7.1,12,12
FDC,SMALL,SMALL,Other,0.0,380.75,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-3.24,CHOPPY,58.8,58.8,7,7,0.5,57,57,33.3,3.42,3.42,0.5,-65.0,6.7,9,17
FIEMIND,SMALL,SMALL,Other,0.0,2238.0,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-2.6,CHOPPY,58.8,58.8,7,7,0.81,49,49,44.9,3.67,3.69,0.81,-18.9,7.6,8,7
FINCABLES,SMALL,SMALL,Other,0.0,994.5,4,4,-0.5,0,0,0.0,0.0,0,NEUT,2.5,0,0,NEUT,NEUT,-3.64,CHOPPY,72.9,72.9,7,7,1.49,44,44,56.8,4.79,4.23,1.49,39.3,8.1,6,4
FORCEMOT,SMALL,SMALL,Other,0.0,17363.0,12,12,-0.5,0,0,0.0,0.0,0,NEUT,7.7,0,0,NEUT,NEUT,-1.59,CHOPPY,60.1,60.1,7,7,0.72,57,57,35.1,7.05,5.32,0.72,-55.9,6.0,24,10
GESHIP,SMALL,SMALL,Other,0.0,1367.8,12,12,-0.5,0,0,0.0,0.0,0,NEUT,7.7,0,0,NEUT,NEUT,-5.16,CHOPPY,60.4,60.4,7,7,0.44,57,57,24.6,5.22,3.87,0.44,-93.3,6.5,13,18
GILLETTE,SMALL,SMALL,Other,0.0,7701.5,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,0.57,CHOPPY,63.0,63.0,7,7,0.74,49,49,38.8,4.1,3.5,0.74,-27.0,7.4,7,12
GLAXO,SMALL,SMALL,Other,0.0,2174.9,9,9,-0.5,0,0,0.0,0.0,0,NEUT,5.8,0,0,NEUT,NEUT,-0.9,CHOPPY,67.9,67.9,7,7,1.01,49,49,40.8,4.54,3.1,1.01,0.7,7.2,8,11
GODREJCP,SMALL,SMALL,Other,0.0,1027.6,-2,-2,-0.5,0,0,0.0,0.0,0,NEUT,-1.4,0,0,NEUT,NEUT,1.42,CHOPPY,64.3,64.3,7,7,0.9,52,52,32.7,5.19,2.81,0.9,-10.3,7.3,6,14
GPIL,SMALL,SMALL,Other,0.0,277.1,4,4,-0.5,0,0,0.0,0.0,0,NEUT,2.5,0,0,NEUT,NEUT,0.78,CHOPPY,61.6,61.6,7,7,1.06,51,51,33.3,7.03,3.32,1.06,6.5,7.3,8,7
GPPL,SMALL,SMALL,Other,0.0,152.1,4,4,-0.5,0,0,0.0,0.0,0,NEUT,2.5,0,0,NEUT,NEUT,-1.44,CHOPPY,72.7,72.7,7,7,0.99,55,55,41.8,3.97,2.88,0.99,-1.0,6.9,7,9
GRANULES,SMALL,SMALL,Other,0.0,760.8,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-0.56,CHOPPY,68.7,68.7,7,7,0.95,53,53,35.8,6.6,3.88,0.95,-6.7,7.0,10,12
GRINDWELL,SMALL,SMALL,Other,0.0,1914.8,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-0.95,CHOPPY,58.7,58.7,7,7,0.93,50,50,36.0,5.65,3.41,0.93,-7.6,7.3,7,13
GRSE,SMALL,SMALL,Other,0.0,2604.0,4,4,-0.5,0,0,0.0,0.0,0,NEUT,2.5,0,0,NEUT,NEUT,-2.57,CHOPPY,68.1,68.1,7,7,1.33,52,52,32.7,12.14,4.42,1.33,51.6,6.8,16,6
HAL,SMALL,SMALL,Other,0.0,4219.2,4,4,-0.5,0,0,12.0,12.0,9,BULL,7.3,0,0,NEUT,NEUT,-1.05,CHOPPY,67.1,67.1,7,7,1.02,53,53,39.6,4.76,3.06,1.02,2.1,6.8,9,12
HARSHA,SMALL,SMALL,Other,0.0,401.0,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,1.28,CHOPPY,53.2,53.2,7,7,0.26,58,58,25.9,3.05,4.08,0.26,-129.7,6.2,18,18
HAVELLS,SMALL,SMALL,Other,0.0,1155.5,4,4,-0.5,0,0,0.0,0.0,0,NEUT,2.5,0,0,NEUT,NEUT,0.43,CHOPPY,65.6,65.6,7,7,0.75,48,48,29.2,3.84,2.1,0.75,-17.6,7.3,2,4
HAWKINCOOK,SMALL,SMALL,Other,0.0,7708.5,-17,-17,-0.5,0,0,0.0,0.0,0,NEUT,-11.1,0,0,NEUT,NEUT,-0.43,CHOPPY,66.7,66.7,7,7,2.45,2,2,50.0,5.03,2.05,2.45,3.0,6.0,0,1
HCLTECH,SMALL,SMALL,Other,0.0,1132.1,10,10,-0.5,0,0,0.0,0.0,0,NEUT,6.4,0,0,NEUT,NEUT,-1.24,CHOPPY,73.3,73.3,7,7,1.29,45,45,46.7,3.76,2.54,1.29,17.9,7.8,4,4
HEROMOTOCO,SMALL,SMALL,Other,0.0,4856.7,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,0.03,CHOPPY,67.8,67.8,7,7,0.93,52,52,42.3,4.26,3.37,0.93,-7.3,7.5,9,14
HEXT,SMALL,SMALL,Other,0.0,515.45,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-1.18,CHOPPY,70.3,70.3,7,7,1.29,33,33,36.4,7.25,3.21,1.29,19.6,7.4,4,9
HINDCOPPER,SMALL,SMALL,Other,0.0,510.7,12,12,-0.5,0,0,0.0,0.0,0,NEUT,7.7,0,0,NEUT,NEUT,-1.71,CHOPPY,65.1,65.1,7,7,1.64,45,45,55.6,6.47,4.94,1.64,62.9,7.8,11,2
HINDUNILVR,SMALL,SMALL,Other,0.0,2169.5,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,1.72,CHOPPY,63.6,63.6,7,7,1.35,43,43,46.5,3.17,2.05,1.35,16.4,8.4,1,7
ICICIGI,SMALL,SMALL,Other,0.0,1732.2,4,4,-0.5,0,0,0.0,0.0,0,NEUT,2.5,0,0,NEUT,NEUT,-2.56,CHOPPY,58.1,58.1,7,7,0.67,50,50,36.0,3.15,2.64,0.67,-27.7,7.4,4,10
IEX,SMALL,SMALL,Other,0.0,118.75,12,12,-0.5,0,0,0.0,0.0,0,NEUT,7.7,0,0,NEUT,NEUT,-1.09,CHOPPY,67.1,67.1,7,7,0.99,48,48,33.3,6.35,3.2,0.99,-0.9,7.5,9,6
IFBIND,SMALL,SMALL,Other,0.0,1251.6,8,8,-0.5,0,0,0.0,0.0,0,NEUT,5.1,0,0,NEUT,NEUT,-2.67,CHOPPY,73.2,73.2,7,7,2.27,44,44,56.8,8.0,4.65,2.27,111.7,8.3,7,8
INDHOTEL,SMALL,SMALL,Other,0.0,665.85,-4,-4,-0.5,0,0,0.0,0.0,0,NEUT,-2.7,0,0,NEUT,NEUT,-0.13,CHOPPY,51.5,51.5,7,7,0.64,54,54,29.6,3.95,2.59,0.64,-35.2,6.6,4,12
INDIGOPNTS,SMALL,SMALL,Other,0.0,976.55,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,0.24,CHOPPY,70.2,70.2,7,7,1.42,45,45,48.9,4.76,3.21,1.42,31.0,8.0,7,3
INFY,SMALL,SMALL,Other,0.0,1145.3,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,-0.87,CHOPPY,64.7,64.7,7,7,0.85,48,48,31.2,5.18,2.79,0.85,-14.3,7.4,4,13
IPCALAB,SMALL,SMALL,Other,0.0,1630.2,8,8,-0.5,0,0,0.0,0.0,0,NEUT,5.1,0,0,NEUT,NEUT,-0.23,CHOPPY,62.6,62.6,7,7,0.55,54,54,40.7,2.52,3.15,0.55,-45.3,6.8,10,7
IRIS,SMALL,SMALL,Other,0.0,232.85,4,4,-0.5,0,0,0.0,0.0,0,NEUT,2.5,0,0,NEUT,NEUT,-2.02,CHOPPY,64.5,64.5,7,7,3.23,38,38,60.5,8.43,4.0,3.23,133.9,9.3,5,4
KAJARIACER,SMALL,SMALL,Other,0.0,1067.4,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,-1.2,CHOPPY,64.8,64.8,7,7,1.75,44,44,47.7,6.41,3.34,1.75,57.7,8.0,5,9
KIRLPNU,SMALL,SMALL,Other,0.0,1625.7,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-1.17,CHOPPY,68.8,68.8,7,7,0.92,53,53,32.1,7.77,3.99,0.92,-11.7,7.0,12,16
KKCL,SMALL,SMALL,Other,0.0,434.85,-2,-2,-0.5,0,0,0.0,0.0,0,NEUT,-1.4,0,0,NEUT,NEUT,-0.31,CHOPPY,66.8,66.8,7,7,0.77,56,56,35.7,4.39,3.16,0.77,-25.8,6.5,9,15
KMEW,SMALL,SMALL,Other,0.0,1863.2,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,-4.93,CHOPPY,63.8,63.8,7,7,0.51,45,45,33.3,6.19,6.02,0.51,-87.8,5.6,22,8
KPRMILL,SMALL,SMALL,Other,0.0,1045.55,-4,-4,-0.5,0,0,0.0,0.0,0,NEUT,-2.7,0,0,NEUT,NEUT,1.53,CHOPPY,70.0,70.0,7,7,0.91,51,51,41.2,5.08,3.92,0.91,-11.1,6.9,9,12
LICI,SMALL,SMALL,Other,0.0,395.95,4,4,-0.5,0,0,0.0,0.0,0,NEUT,2.5,0,0,NEUT,NEUT,-1.97,CHOPPY,67.5,67.5,7,7,0.81,50,50,34.0,3.66,2.32,0.81,-14.4,7.5,2,10
LODHA,SMALL,SMALL,Other,0.0,862.0,4,4,-0.5,0,0,0.0,0.0,0,NEUT,2.5,0,0,NEUT,NEUT,-2.92,CHOPPY,61.7,61.7,7,7,1.1,47,47,38.3,7.15,4.03,1.1,11.7,7.6,13,7
LTM,SMALL,SMALL,Other,0.0,3944.1,-2,-2,-0.5,0,0,0.0,0.0,0,NEUT,-1.4,0,0,NEUT,NEUT,-1.4,CHOPPY,72.9,72.9,7,7,1.7,46,46,47.8,5.03,2.72,1.7,45.4,7.7,4,5
LTTS,SMALL,SMALL,Other,0.0,3328.0,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,-2.62,CHOPPY,62.5,62.5,7,7,0.57,53,53,28.3,4.07,2.82,0.57,-46.2,6.8,6,10
LUPIN,SMALL,SMALL,Other,0.0,2247.2,4,4,-0.5,0,0,32.8,32.8,1,BULL,15.6,0,0,NEUT,NEUT,-0.75,CHOPPY,64.0,64.0,7,7,0.51,50,50,30.0,3.12,2.63,0.51,-45.3,7.2,4,10
MAPMYINDIA,SMALL,SMALL,Other,0.0,860.35,-2,-2,-0.5,0,0,0.0,0.0,0,NEUT,-1.4,0,0,NEUT,NEUT,-1.96,CHOPPY,69.7,69.7,7,7,0.98,50,50,38.0,5.99,3.75,0.98,-2.5,7.0,7,10
MARKSANS,SMALL,SMALL,Other,0.0,246.92,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-2.31,CHOPPY,75.4,75.4,7,7,1.39,48,48,45.8,7.37,4.48,1.39,45.7,8.0,10,5
MASTEK,SMALL,SMALL,Other,0.0,1583.6,4,4,-0.5,0,0,0.0,0.0,0,NEUT,2.5,0,0,NEUT,NEUT,-2.37,CHOPPY,63.9,63.9,7,7,0.79,52,52,36.5,5.34,3.91,0.79,-27.7,6.8,15,8
