Ticker,Category,BT_Category,Sector,Market_Cap,Close,Tech_Score,Technical_Score,Macro_Score,Fund_Score,Fundamental_Score,News_Score,Forecast_Score,N_Catalysts,News_Direction,Composite_Score,Composite_Direction,Forecast_Direction,Direction_Label,Composite_Severity,Actual_Return_Pct,Regime,BT_6M,BT_Accuracy,BT_Forward_Days,Horizon,BT_PF,BT_Trades,TR_total_trades,TR_win_rate,TR_avg_win_pct,TR_avg_loss_pct,TR_profit_factor,TR_total_return_pct,TR_avg_holding_days,TR_sl_exits,TR_flips
MAXHEALTH,SMALL,SMALL,Other,0.0,1010.1,-2,-2,-0.5,0,0,0.0,0.0,0,NEUT,-1.4,0,0,NEUT,NEUT,0.7,CHOPPY,59.2,59.2,7,7,0.88,45,45,37.8,3.52,2.43,0.88,-8.1,8.0,3,7
MAZDOCK,SMALL,SMALL,Other,0.0,2367.6,12,12,-0.5,0,0,0.0,0.0,0,NEUT,7.7,0,0,NEUT,NEUT,-2.78,CHOPPY,62.8,62.8,7,7,0.75,52,52,38.5,5.72,4.79,0.75,-39.0,6.4,16,9
MCX,SMALL,SMALL,Other,0.0,2743.8,9,9,-0.5,0,0,0.0,0.0,0,NEUT,5.8,0,0,NEUT,NEUT,-2.87,CHOPPY,75.3,75.3,7,7,2.07,48,48,47.9,8.08,3.59,2.07,96.1,7.9,7,9
MEDANTA,SMALL,SMALL,Other,0.0,1225.5,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-1.34,CHOPPY,61.5,61.5,7,7,0.86,52,52,44.2,3.66,3.39,0.86,-14.1,7.0,7,12
MODIS,SMALL,SMALL,Other,0.0,345.05,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,0.01,CHOPPY,76.8,76.8,7,7,1.79,12,12,58.3,4.46,3.49,1.79,13.8,6.9,1,4
MPHASIS,SMALL,SMALL,Other,0.0,2297.8,8,8,-0.5,0,0,0.0,0.0,0,NEUT,5.1,0,0,NEUT,NEUT,-1.82,CHOPPY,60.8,60.8,7,7,0.8,45,45,31.1,5.29,3.0,0.8,-18.9,8.1,4,9
MSUMI,SMALL,SMALL,Other,0.0,37.38,12,12,-0.5,0,0,0.0,0.0,0,NEUT,7.7,0,0,NEUT,NEUT,-2.04,CHOPPY,59.0,59.0,7,7,1.18,47,47,40.4,4.4,2.53,1.18,12.8,7.9,4,8
NAM-INDIA,SMALL,SMALL,Other,0.0,1061.5,22,22,-0.5,0,0,0.0,0.0,0,NEUT,14.2,0,0,NEUT,NEUT,-2.15,CHOPPY,62.4,62.4,7,7,0.58,54,54,35.2,4.59,4.27,0.58,-62.1,6.8,13,14
NESCO,SMALL,SMALL,Other,0.0,1084.5,17,17,-0.5,0,0,0.0,0.0,0,NEUT,11.0,0,0,NEUT,NEUT,0.19,CHOPPY,63.9,63.9,7,7,0.66,51,51,33.3,4.34,3.29,0.66,-38.2,7.3,9,8
NESTLEIND,SMALL,SMALL,Other,0.0,1438.3,-20,-20,-0.5,0,0,0.0,0.0,0,NEUT,-13.1,0,0,NEUT,NEUT,1.98,CHOPPY,59.8,59.8,7,7,0.77,55,55,27.3,4.21,2.06,0.77,-19.3,6.5,2,17
NEWGEN,SMALL,SMALL,Other,0.0,471.1,8,8,-0.5,0,0,0.0,0.0,0,NEUT,5.1,0,0,NEUT,NEUT,-3.33,CHOPPY,74.6,74.6,7,7,1.0,51,51,37.3,9.94,5.92,1.0,-0.8,7.1,18,15
NMDC,SMALL,SMALL,Other,0.0,88.45,14,14,-0.5,0,0,0.0,0.0,0,NEUT,9.0,0,0,NEUT,NEUT,-1.77,CHOPPY,55.7,55.7,7,7,0.34,56,56,19.6,4.88,3.51,0.34,-104.2,6.5,12,12
OBEROIRLTY,SMALL,SMALL,Other,0.0,1591.6,4,4,-0.5,0,0,0.0,0.0,0,NEUT,2.5,0,0,NEUT,NEUT,-2.51,CHOPPY,57.3,57.3,7,7,0.96,49,49,34.7,5.52,3.04,0.96,-3.6,7.4,5,11
OFSS,SMALL,SMALL,Other,0.0,9470.0,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-1.76,CHOPPY,66.0,66.0,7,7,0.81,53,53,35.8,5.29,3.66,0.81,-23.8,6.6,10,13
ONGC,SMALL,SMALL,Other,0.0,251.9,22,22,-0.5,0,0,0.0,0.0,0,NEUT,14.2,0,0,NEUT,NEUT,-2.74,CHOPPY,62.7,62.7,7,7,0.72,50,50,34.0,3.84,2.75,0.72,-25.7,7.5,7,8
ORIENTELEC,SMALL,SMALL,Other,0.0,173.4,12,12,-0.5,0,0,0.0,0.0,0,NEUT,7.7,0,0,NEUT,NEUT,-1.75,CHOPPY,65.2,65.2,7,7,0.56,55,55,38.2,3.32,3.64,0.56,-54.0,7.2,9,12
PARAGMILK,SMALL,SMALL,Other,0.0,237.74,-4,-4,-0.5,0,0,0.0,0.0,0,NEUT,-2.7,0,0,NEUT,NEUT,-2.33,CHOPPY,68.8,68.8,7,7,1.03,48,48,35.4,7.45,3.96,1.03,4.0,7.5,11,6
PATANJALI,SMALL,SMALL,Other,0.0,419.6,17,17,-0.5,0,0,3.3,3.3,2,NEUT,12.3,0,0,NEUT,NEUT,-0.58,CHOPPY,62.6,62.6,7,7,1.11,49,49,34.7,4.74,2.27,1.11,8.1,7.4,2,10
PGHL,SMALL,SMALL,Other,0.0,6235.0,-9,-9,-0.5,0,0,0.0,0.0,0,NEUT,-5.9,0,0,NEUT,NEUT,0.36,CHOPPY,65.8,65.8,7,7,0.53,58,58,29.3,3.01,2.34,0.53,-44.9,6.6,3,18
POWERMECH,SMALL,SMALL,Other,0.0,2546.0,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-0.28,CHOPPY,62.4,62.4,7,7,1.69,47,47,44.7,7.2,3.45,1.69,61.6,7.7,7,5
PRICOLLTD,SMALL,SMALL,Other,0.0,543.05,4,4,-0.5,0,0,0.0,0.0,0,NEUT,2.5,0,0,NEUT,NEUT,-0.29,CHOPPY,60.9,60.9,7,7,0.95,47,47,34.0,5.74,3.11,0.95,-4.5,7.5,6,8
PRUDENT,SMALL,SMALL,Other,0.0,2722.4,-8,-8,-0.5,0,0,24.0,24.0,1,BULL,4.3,0,0,NEUT,NEUT,2.29,CHOPPY,64.6,64.6,7,7,0.78,53,53,34.0,5.86,3.88,0.78,-30.1,6.7,11,9
QUESS,SMALL,SMALL,Other,0.0,238.11,-17,-17,-0.5,0,0,0.0,0.0,0,NEUT,-11.1,0,0,NEUT,NEUT,0.4,CHOPPY,71.1,71.1,7,7,1.74,46,46,43.5,7.6,3.35,1.74,64.8,7.6,8,7
RADICO,SMALL,SMALL,Other,0.0,3477.1,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-0.67,CHOPPY,62.1,62.1,7,7,0.72,49,49,32.7,5.4,3.61,0.72,-32.8,7.4,9,8
REDINGTON,SMALL,SMALL,Other,0.0,229.74,8,8,-0.5,0,0,-18.2,-18.2,1,BEAR,-2.2,0,0,NEUT,NEUT,-4.39,CHOPPY,62.0,62.0,7,7,0.65,53,53,22.6,7.58,3.41,0.65,-48.9,6.8,13,12
ROSSARI,SMALL,SMALL,Other,0.0,510.4,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-1.01,CHOPPY,64.5,64.5,7,7,0.63,51,51,33.3,4.83,3.81,0.63,-47.4,7.0,14,11
RPGLIFE,SMALL,SMALL,Other,0.0,2108.2,4,4,-0.5,0,0,0.0,0.0,0,NEUT,2.5,0,0,NEUT,NEUT,-0.42,CHOPPY,62.5,62.5,7,7,0.99,49,49,34.7,7.83,4.22,0.99,-1.8,7.3,13,6
SARDAEN,SMALL,SMALL,Other,0.0,524.3,-2,-2,-0.5,0,0,0.0,0.0,0,NEUT,-1.4,0,0,NEUT,NEUT,-1.62,CHOPPY,68.1,68.1,7,7,1.41,43,43,37.2,9.42,3.95,1.41,44.0,8.0,10,5
SAREGAMA,SMALL,SMALL,Other,0.0,438.05,8,8,-0.5,0,0,0.0,0.0,0,NEUT,5.1,0,0,NEUT,NEUT,-2.5,CHOPPY,64.6,64.6,7,7,0.65,50,50,40.0,3.65,3.71,0.65,-38.5,7.2,11,6
SCI,SMALL,SMALL,Other,0.0,287.5,4,4,-0.5,0,0,41.5,41.5,5,BULL,19.1,0,0,NEUT,NEUT,-3.25,CHOPPY,67.9,67.9,7,7,1.44,54,54,46.3,6.74,4.03,1.44,51.4,7.0,11,5
SEAMECLTD,SMALL,SMALL,Other,0.0,1584.8,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-1.74,CHOPPY,59.4,59.4,7,7,1.32,42,42,40.5,6.72,3.46,1.32,27.6,7.8,8,4
SHARDACROP,SMALL,SMALL,Other,0.0,902.85,-2,-2,-0.5,0,0,0.0,0.0,0,NEUT,-1.4,0,0,NEUT,NEUT,1.98,CHOPPY,72.0,72.0,7,7,1.74,45,45,51.1,7.58,4.55,1.74,74.2,8.1,8,6
SHARDAMOTR,SMALL,SMALL,Other,0.0,783.1,17,17,-0.5,0,0,0.0,0.0,0,NEUT,11.0,0,0,NEUT,NEUT,-1.63,CHOPPY,68.7,68.7,7,7,1.1,57,57,33.3,7.9,3.59,1.1,13.7,5.9,10,9
SOMANYCERA,SMALL,SMALL,Other,0.0,501.05,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,0.55,CHOPPY,70.4,70.4,7,7,0.78,46,46,37.0,5.31,3.98,0.78,-25.2,7.6,7,8
SSWL,SMALL,SMALL,Other,0.0,227.09,-4,-4,-0.5,0,0,0.0,0.0,0,NEUT,-2.7,0,0,NEUT,NEUT,-3.2,CHOPPY,65.7,65.7,7,7,0.86,52,52,36.5,5.56,3.74,0.86,-17.6,7.2,10,9
STYLAMIND,SMALL,SMALL,Other,0.0,3117.0,-14,-14,-0.5,0,0,0.0,0.0,0,NEUT,-9.2,0,0,NEUT,NEUT,0.43,CHOPPY,67.2,67.2,7,7,1.03,54,54,29.6,7.99,3.28,1.03,3.3,7.0,11,15
SUBROS,SMALL,SMALL,Other,0.0,709.85,4,4,-0.5,0,0,0.0,0.0,0,NEUT,2.5,0,0,NEUT,NEUT,-2.76,CHOPPY,66.6,66.6,7,7,0.9,55,55,29.1,8.24,3.78,0.9,-15.5,6.5,13,12
SUNDRMFAST,SMALL,SMALL,Other,0.0,830.4,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,0.58,CHOPPY,70.2,70.2,7,7,0.82,47,47,38.3,3.37,2.54,0.82,-13.0,7.4,5,7
SUPRIYA,SMALL,SMALL,Other,0.0,952.4,8,8,-0.5,0,0,0.0,0.0,0,NEUT,5.1,0,0,NEUT,NEUT,-1.09,CHOPPY,69.3,69.3,7,7,1.29,51,51,43.1,5.85,3.45,1.29,28.7,7.2,11,10
SWARAJENG,SMALL,SMALL,Other,0.0,3777.9,-2,-2,-0.5,0,0,0.0,0.0,0,NEUT,-1.4,0,0,NEUT,NEUT,-0.06,CHOPPY,56.7,56.7,7,7,0.77,49,49,30.6,5.29,3.02,0.77,-23.3,7.2,7,12
TCI,SMALL,SMALL,Other,0.0,945.05,-4,-4,-0.5,0,0,0.0,0.0,0,NEUT,-2.7,0,0,NEUT,NEUT,-3.06,CHOPPY,63.1,63.1,7,7,0.64,50,50,36.0,3.99,3.49,0.64,-39.7,7.0,11,13
TCS,SMALL,SMALL,Other,0.0,2153.9,4,4,-0.5,0,0,-6.4,-6.4,6,NEUT,-0.0,0,0,NEUT,NEUT,0.13,CHOPPY,69.0,69.0,7,7,1.0,49,49,38.8,3.98,2.53,1.0,-0.4,7.7,1,18
TECHM,SMALL,SMALL,Other,0.0,1478.9,8,8,-0.5,0,0,0.0,0.0,0,NEUT,5.1,0,0,NEUT,NEUT,-0.33,CHOPPY,65.7,65.7,7,7,1.06,50,50,40.0,4.32,2.72,1.06,4.7,7.4,4,11
TIIL,SMALL,SMALL,Other,0.0,2484.1,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,-0.84,CHOPPY,60.9,60.9,7,7,0.93,48,48,47.9,4.72,4.65,0.93,-7.7,7.0,11,8
TIMETECHNO,SMALL,SMALL,Other,0.0,168.69,4,4,-0.5,0,0,0.0,0.0,0,NEUT,2.5,0,0,NEUT,NEUT,-1.94,CHOPPY,67.6,67.6,7,7,0.99,53,53,45.3,4.88,4.07,0.99,-0.9,6.8,12,13
TIPSMUSIC,SMALL,SMALL,Other,0.0,642.7,14,14,-0.5,0,0,0.0,0.0,0,NEUT,9.0,0,0,NEUT,NEUT,-4.54,CHOPPY,70.0,70.0,7,7,1.01,48,48,33.3,7.49,3.71,1.01,1.3,7.4,9,8
TRENT,SMALL,SMALL,Other,0.0,2754.7,-8,-8,-0.5,0,0,0.0,0.0,0,NEUT,-5.3,0,0,NEUT,NEUT,-0.6,CHOPPY,72.2,72.2,7,7,0.71,50,50,38.0,6.6,5.69,0.71,-50.9,7.2,15,12
TRITURBINE,SMALL,SMALL,Other,0.0,652.05,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-3.14,CHOPPY,65.6,65.6,7,7,1.33,50,50,42.0,6.43,3.51,1.33,33.4,6.9,8,12
ULTRACEMCO,SMALL,SMALL,Other,0.0,10866.0,9,9,-0.5,0,0,0.0,0.0,0,NEUT,5.8,0,0,NEUT,NEUT,-0.41,CHOPPY,69.8,69.8,7,7,0.99,47,47,46.8,2.87,2.54,0.99,-0.5,8.1,3,11
USHAMART,SMALL,SMALL,Other,0.0,480.65,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-3.1,CHOPPY,65.7,65.7,7,7,0.95,46,46,47.8,4.24,4.1,0.95,-5.1,7.8,11,7
VAIBHAVGBL,SMALL,SMALL,Other,0.0,223.59,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-2.1,CHOPPY,63.1,63.1,7,7,0.46,58,58,24.1,5.35,3.7,0.46,-88.0,6.3,12,15
VBL,SMALL,SMALL,Other,0.0,526.25,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-0.66,CHOPPY,67.7,67.7,7,7,1.04,51,51,39.2,4.65,2.88,1.04,3.6,7.3,6,10
VENUSPIPES,SMALL,SMALL,Other,0.0,1374.4,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-2.6,CHOPPY,66.0,66.0,7,7,0.69,45,45,28.9,7.06,4.13,0.69,-40.3,8.3,11,4
VGUARD,SMALL,SMALL,Other,0.0,297.4,4,4,-0.5,0,0,0.0,0.0,0,NEUT,2.5,0,0,NEUT,NEUT,-1.39,CHOPPY,64.8,64.8,7,7,0.83,49,49,38.8,2.93,2.23,0.83,-11.1,7.7,2,11
VISHNU,SMALL,SMALL,Other,0.0,580.15,14,14,-0.5,0,0,0.0,0.0,0,NEUT,9.0,0,0,NEUT,NEUT,-2.36,CHOPPY,57.6,57.6,7,7,0.71,55,55,32.7,4.44,3.05,0.71,-32.9,6.9,4,13
WABAG,SMALL,SMALL,Other,0.0,1550.0,8,8,-0.5,0,0,0.0,0.0,0,NEUT,5.1,0,0,NEUT,NEUT,-2.29,CHOPPY,55.4,55.4,7,7,0.73,48,48,29.2,7.24,4.11,0.73,-38.2,7.3,12,8
WELCORP,SMALL,SMALL,Other,0.0,1370.4,2,2,-0.5,0,0,0.0,0.0,0,NEUT,1.2,0,0,NEUT,NEUT,-2.92,CHOPPY,56.2,56.2,7,7,0.7,60,60,25.0,8.46,4.02,0.7,-54.2,6.1,16,15
ZENSARTECH,SMALL,SMALL,Other,0.0,457.25,17,17,-0.5,0,0,0.0,0.0,0,NEUT,11.0,0,0,NEUT,NEUT,-1.49,CHOPPY,61.1,61.1,7,7,0.78,52,52,34.6,5.86,4.0,0.78,-30.4,7.0,13,13
ZYDUSLIFE,SMALL,SMALL,Other,0.0,1098.3,-15,-15,-0.5,0,0,0.0,0.0,0,NEUT,-9.8,0,0,NEUT,NEUT,-0.66,CHOPPY,69.2,69.2,7,7,0.7,48,48,37.5,3.13,2.67,0.7,-23.8,7.7,5,10
