Ticker,Date,Open,High,Low,Close,Volume,Market_Cap,Debt_Eq,Industry,SMA_9,SMA_22,STD_22,SMA_50,SMA_52,SMA_200,EMA_9,EMA_21,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Flag,ADX_14,ST_Direction,Knoxville_Divergence,OBV,up_true,SuperTrend,Ichi_Tenkan,Ichi_Kijun,ATR_14,Sector,Sub_Industry,ST_Value,ATR_Pct,PE_Ratio,PB_Ratio,ROE,Dividend_Yield,Debt_to_Equity
AFFLE,2025-01-27,1515.95,1515.95,1432.4,1479.95,356494,20198.81,,Advertising Agencies,,,,,,,1479.95,1479.95,,0.0,0.0,0.0,,,,,0,,,,,,,,Communication Services,Advertising Agencies,0.0,,44.45,5.52,13.79,0.0,0.41
AFFLE,2025-01-28,1435.0,1502.15,1433.0,1458.9,342469,20198.81,,Advertising Agencies,,,,,,,1475.74,1478.0363636363636,,-1.6792022792021726,-0.3358404558404345,-1.343361823361738,,,,,0,,,,,,,,Communication Services,Advertising Agencies,0.0,,44.45,5.52,13.79,0.0,0.41
AFFLE,2025-01-29,1470.0,1513.0,1455.3,1502.0,135801,20198.81,,Advertising Agencies,,,,,,,1480.9920000000002,1480.2148760330576,,0.4624962459720336,-0.1761731154779409,0.6386693614499745,,,,,0,,,,,,,,Communication Services,Advertising Agencies,0.0,,44.45,5.52,13.79,0.0,0.41
AFFLE,2025-01-30,1524.1,1524.1,1483.15,1499.85,231655,20198.81,,Advertising Agencies,,,,,,,1484.7636000000002,1481.9998873027796,,1.9636845919521877,0.2517984260080848,1.7118861659441027,,,,,0,,,,,,,,Communication Services,Advertising Agencies,0.0,,44.45,5.52,13.79,0.0,0.41
AFFLE,2025-01-31,1511.05,1520.3,1496.4,1507.95,115698,20198.81,,Advertising Agencies,,,,,,,1489.40088,1484.3589884570722,,3.7636049816294417,0.9541597371323562,2.809445244497085,,,,,0,,,,,,,,Communication Services,Advertising Agencies,0.0,,44.45,5.52,13.79,0.0,0.41
AFFLE,2025-02-01,1519.9,1548.0,1465.0,1522.35,134599,20198.81,,Advertising Agencies,,,,,,,1495.9907040000005,1487.8127167791563,,6.279626882583216,2.019253166222528,4.260373716360688,,,,,0,,,,,,,,Communication Services,Advertising Agencies,0.0,,44.45,5.52,13.79,0.0,0.41
AFFLE,2025-02-03,1500.0,1535.0,1483.25,1497.55,153562,20198.81,,Advertising Agencies,,,,,,,1496.3025632000003,1488.6979243446876,,6.20095883481099,2.8555942999402206,3.345364534870769,,,,,0,,,,,,,,Communication Services,Advertising Agencies,0.0,,44.45,5.52,13.79,0.0,0.41
AFFLE,2025-02-04,1510.0,1529.0,1476.8,1513.35,230220,20198.81,,Advertising Agencies,,,,,,,1499.7120505600003,1490.939022131534,,7.329056987299282,3.750286837412033,3.578770149887249,,,,,0,,,,,,,,Communication Services,Advertising Agencies,0.0,,44.45,5.52,13.79,0.0,0.41
AFFLE,2025-02-05,1520.0,1669.45,1520.0,1647.7,1238095,20198.81,,Advertising Agencies,1514.4,,,,,,1529.3096404480002,1505.1900201195765,,18.846751471587595,6.769579764247146,12.07717170734045,,,,,0,,,,,1550.9250000000002,,,Communication Services,Advertising Agencies,0.0,,44.45,5.52,13.79,0.0,0.41
AFFLE,2025-02-06,1618.05,1678.7,1604.8,1650.4,507518,20198.81,,Advertising Agencies,1533.3388888888887,,,,,,1553.5277123584,1518.390927381433,,27.871193002336213,10.98990241186496,16.881290590471252,,,,,-1,,,,,1555.85,,,Communication Services,Advertising Agencies,1434.09,,44.45,5.52,13.79,0.0,0.41
